prop.black,age,sex,area
0.21,1.1,M,S
0.14,1.5,M,S
0.11,1.9,M,S
0.13,2.2,M,S
0.12,2.6,M,S
0.13,3.2,M,S
0.12,3.2,M,S
0.18,2.9,M,S
0.23,2.4,M,S
0.22,2.1,M,S
0.2,1.9,M,S
0.17,1.9,M,S
0.15,1.9,M,S
0.27,1.9,M,S
0.26,2.8,M,S
0.21,3.6,M,S
0.3,4.3,M,S
0.42,3.8,M,S
0.43,4.2,M,S
0.59,5.4,M,S
0.6,5.8,M,S
0.72,6,M,S
0.29,3.4,M,N
0.1,4,M,N
0.48,7.3,M,N
0.44,7.3,M,N
0.34,7.8,M,N
0.37,7.1,M,N
0.34,7.1,M,N
0.74,13.1,M,N
0.79,8.8,M,N
0.51,5.4,M,N
0.05,1.1,F,S
0.08,1.1,F,S
0.06,1.9,F,S
0.15,1.4,F,S
0.14,1.8,F,S
0.06,2.2,F,S
0.19,2.3,F,S
0.08,2.9,F,S
0.15,3.4,F,S
0.21,3.3,F,S
0.22,2.9,F,S
0.25,2.5,F,S
0.29,2.1,F,S
0.37,2.4,F,S
0.36,2.6,F,S
0.24,3.6,F,S
0.24,5.5,F,S
0.32,4.8,F,S
0.35,4.2,F,S
0.39,3.8,F,S
0.43,4.2,F,S
0.45,4.2,F,S
0.49,4.0,F,S
0.51,4.1,F,S
0.53,3.9,F,S
0.48,4.8,F,S
0.36,5.7,F,S
0.40,7.6,F,S
0.46,6.9,F,S
0.53,6.6,F,S
0.56,6.0,F,S
0.48,5.6,F,S
0.63,5.8,F,S
0.59,6.9,F,S
0.62,6.8,F,S
0.69,6.7,F,S
0.70,6.9,F,S
0.78,5.4,F,S
0.86,6.0,F,S
0.69,8.3,F,S
0.63,9.8,F,S
0.76,7.9,F,S
0.85,7.5,F,S
0.85,8.2,F,S
0.83,8.6,F,S
0.80,9.1,F,S
0.80,10.4,F,S
0.83,10.1,F,S
0.86,10.1,F,S
0.89,10.1,F,S
0.91,9.5,F,S
0.90,9.3,F,S
0.99,9.1,F,S
0.99,8.7,F,S
0.95,10.0,F,S
0.98,10.1,F,S
0.86,11.2,F,S
0.83,13.5,F,S
0.96,12.8,F,S
0.99,13.3,F,S
0.92,15.2,F,S
0.66,6.9,F,S
0.16,2.9,F,N
0.15,3.9,F,N
0.22,4.0,F,N
0.26,4.0,F,N
0.25,4.2,F,N
0.50,4.7,F,N
0.60,4.2,F,N
0.63,5.5,F,N
0.90,7.9,F,N
0.50,5.6,F,N
0.35,4.2,F,N
